Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display date,Headline,Text,Media,Media Credit,Media Caption,Background,,Thing,type,Timestamp,Media Thumbnail,Asset produced,Produced
,,,,,,,,,Summer 2018 @ the Learning Lab,We are making things together this summer. Follow along!,http://www.flickr.com/photos/zachwise/6115056146/in/photostream,,,#333333,"<a href=""http://www.flickr.com/photos/zachwise/6115056146/"" title=""Chicago by zach.wise, on Flickr"">Chicago by zach.wise</a>",,title,,,,
2018,6,4,9:15:00 AM,2018,6,4,10:00:00 AM,,LL This Week,LL Staff planned for the week and talked through various strategies for documenting the summer’s activities.,,,,,,LL,#333333,,,,This document.
2018,6,4,1:15:00 PM,2018,6,4,3:00:00 PM,,Interview Set Up,Marlon teaches us how to set up for interviews!,,,,,,Documentation Team,,,,,"Video, Generated ideas on color cards for introducing key steps to future learners of process/equipment"
2018,6,4,1:30:00 PM,2018,6,4,2:30:00 PM,,Facilitation Team informal mtg,We three gathered for super preliminary discussions of several deliverables that we’ll be aiming to produce over the course of the summer. We also discussed some options for events and gatherings during our Facilitation/Collaboration/Participation-themed weeks.,,,,,,Facilitation Team,,,,,Notes for meeting later this week with Amanda and Mara
2018,6,4,3:30:00 PM,2018,6,4,5:00:00 PM,,Unconscious Reflections_001,Elli led a session of unconscious reflections to kick off our documentation of process in team documentation of process.,,,,,,Documentation Team,,,,,Visual artwork (colored pencil and chalk on black butcher paper) and written artist statements of reflection. Jordan’s can be found inthis folder.
2018,6,4,3:30:00 PM,2018,6,4,5:30:00 PM,,Code Team Planning,Phil and Lauren started working on the Team Code Manifesto,,,,,,,,,,,This document.
2018,6,4,12:00:00 AM,2018,6,4,2:00:00 PM,,LL Team lunch,,,,,,,LL,http://knightlab.northwestern.edu/wp-content/uploads/2015/03/front-page-image.jpg,,,,Full bellies. :)
2018,6,4,,2018,6,15,,,Planning Week,LL Staff planned for the week and talked through various strategies for documenting the summer’s activities.,http://www.flickr.com/photos/zachwise/6894476777/in/photostream,,,#FFC300,Chicago to NYC,,era,,,,
2018,6,5,10:30:00 AM,2018,6,5,1:00:00 PM,,Workflow redesign pt. 1,The tech team met to discuss summer plans and refine goals. Katie began working to streamline workflows and logins for MPAs.,,,,,,Tech Team,,,,,Clean calendar and google drive for MPAs at media@learninglab.xyz
2018,6,5,10:30:00 AM,2018,6,5,4:00:00 PM,,LLUF Activity brainstorm,"We brainstormed a structure for Week 0 and Weeks 1-6, as well as activities and tutorials for LLUFs during that time!",,,,,,LLUF Team,,,,,"We added all of our plans and ideas to the LL_SUMMER_2018_LLUF_MANUAL doc. Those plans and ideas include possible tutorials for the Code team to work on, a potential example bio for the LLUFs, Week 0 orientation and activity plans, and a theme-based weekly structure for Weeks 1-6, with ideas for different themes and activities."
2018,6,5,12:00:00 PM,2018,6,5,2:00:00 PM,,Fellow Initial Goals Interviews with Lauren,Lauren interviews Jordan and Elli on what they want to learn over the summer. Elli interviews Lauren on the same.,,,,,,Documentation Team,,,,,Interview footage
2018,6,5,1:00:00 PM,2018,6,5,4:00:00 PM,,Linocut Documentation test,"We will test the 20-minute activity Marlon (or sub) will do with Houghton Fellows on Wednesday afternoon. We will learn how to capture artistic processes and products with phone cameras (as this is what the students will be doing), but we will also be using the LL Studio Cameras and screens to help illustrate some elements of visual storytelling that they’ll .",,,,,,Documentation Team,,,,,Block prints
